UNITID,city,state,admission_rate,sat_verbal_midrange,sat_math_midrange,sat_writing_midrange,act_combined_midrange,act_english_midrange,act_math_midrange,act_writing_midrange,sat_total_average,undergrad_size,percent_white,percent_black,percent_hispanic,percent_asian,percent_part_time,average_cost_academic_year,average_cost_program_year,tuition_(instate),tuition_(out_of_state),spend_per_student,faculty_salary,percent_part_time_faculty,percent_pell_grant,completion_rate,predominant_degree,highest_degree,ownership,gender,percent_female,agege24,faminc,mean_earnings_6_years,median_earnings_6_years,mean_earnings_10_years,median_earnings_10_years,region
100654.0,1502,1,0.8989,410.0,400.0,510.0,17.0,17.0,17.0,7.0,823.0,4051.0,0.0279,0.9501,0.0089,0.0022,0.0622,18888.0,17831.0,7182.0,12774.0,7459.0,7079.0,0.8856,0.7115,0.2914,1,3,2,0,0.52999997138977,-1.6086956831593417,0.17665675553795357,26100.0,22800.0,35300.0,31400.0,7
100663.0,185,1,0.8673,580.0,585.0,510.0,25.0,26.0,23.0,7.0,1146.0,11200.0,0.5987,0.259,0.0258,0.0518,0.2579,19990.0,17831.0,7206.0,16398.0,17208.0,10170.0,0.9106,0.3505,0.5377,1,3,2,0,0.64999997615814,-0.8260869846903264,0.6273081303056688,37400.0,33200.0,46300.0,40300.0,7
100690.0,1385,1,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,322.0,0.2919,0.4224,0.0093,0.0031,0.3727,12300.0,17831.0,6870.0,6870.0,5123.0,3849.0,0.6721,0.6839,0.6667,1,3,1,0,0.50999999046325,1.6521739693805662,0.10689382682036114,38500.0,32800.0,42100.0,38100.0,7
100706.0,974,1,0.8062,575.0,580.0,510.0,26.0,26.0,25.0,7.0,1180.0,5525.0,0.7012,0.131,0.0338,0.0364,0.2395,20306.0,17831.0,9192.0,21506.0,9352.0,9341.0,0.6555,0.3281,0.4835,1,3,2,0,0.55000001192092,-0.6956521908142218,0.8255966339703353,39300.0,36700.0,52700.0,46600.0,7
100724.0,1385,1,0.5125,430.0,425.0,510.0,17.0,17.0,17.0,7.0,830.0,5354.0,0.0161,0.9285,0.0114,0.0015,0.0902,17400.0,17831.0,8720.0,15656.0,7393.0,6557.0,0.6641,0.8265,0.2517,1,3,2,0,0.56999999284744,-1.4782608892832372,-0.21260115703779345,21200.0,19300.0,30700.0,27800.0,7
100751.0,2210,1,0.5655,555.0,570.0,540.0,26.0,27.0,25.0,7.0,1171.0,28692.0,0.7865,0.114,0.0313,0.0112,0.0852,26717.0,17831.0,9450.0,23950.0,9817.0,9605.0,0.7109,0.2107,0.6665,1,3,2,0,0.56000000238418,-1.5217391431106773,1.7552356867648966,35700.0,32900.0,49100.0,42400.0,7
100760.0,27,1,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,1779.0,0.6785,0.2945,0.0118,0.0022,0.466,12103.0,17831.0,4200.0,7500.0,5935.0,5805.0,0.3871,0.6515,0.46525,0,0,2,0,0.72000002861022,-0.13043479387614798,-0.4234731796852424,25300.0,22700.0,31400.0,27100.0,7
100812.0,89,1,0.69965,515.0,520.0,510.0,23.0,22.0,22.0,7.0,1037.0,2999.0,0.7513,0.1064,0.0213,0.0047,0.5502,22865.0,17831.0,11700.0,14446.0,6176.0,7672.0,0.4412,0.4107,0.46525,1,1,2,0,0.72000002861022,0.6956523203894888,0.18736338069856914,34600.0,33300.0,41500.0,39700.0,7
100830.0,1385,1,0.8371,515.0,520.0,510.0,21.0,21.0,20.0,7.0,970.0,4322.0,0.5532,0.3031,0.0079,0.0245,0.3061,16556.0,17831.0,8750.0,24950.0,6817.0,7173.0,0.9262,0.4006,0.2705,1,3,2,0,0.68000000715255,-0.5652173969380738,0.17183909998450242,30400.0,27500.0,36700.0,34800.0,7
100858.0,95,1,0.8274,570.0,595.0,565.0,27.0,28.0,26.0,7.0,1215.0,19761.0,0.8543,0.0714,0.0253,0.0213,0.0902,23788.0,17831.0,9852.0,26364.0,11324.0,9429.0,0.878,0.1687,0.6792,1,3,2,0,0.49000000953674,-1.6521739369867818,2.4353837533501834,39300.0,35900.0,52100.0,45400.0,7
